type,question,answer,optionA,optionB,optionC,optionD
单选,统领党的建设的是(),A,政治建设,思想建设,组织建设,制度建设
单选,政党第一位的属性是(),A,政治性,思想性,阶级性,革命性
单选,党的政治建设的首要任务是(),A,保证全党服从中央，坚持党中央权威和集中统一领导,尊崇党章,完善和落实民主集中制的各项制度,加强党性锻炼，不断提高政治觉悟和政治能力
单选,党的基层组织建设的重点是(),B,提升领导力,提升组织力,提升凝聚力,激发党员活力
单选,我们党的最大政治优势是(),C,以马克思主义为指导,工人阶级的阶级基础,密切联系群众,自我革命
单选,党的作风建设的核心是(),A,保持党同人民群众的血肉联系,反“四风”,反腐倡廉,坚持党的优良作风
单选,严明党的纪律，首要的是严明(),A,政治纪律,组织纪律,工作纪律,群众纪律
单选,党内制度建设的根本依据是(),B,宪法,党章,党内法规,政治纪律和政治规矩
单选,从严治党的重中之重是(),D,政治建设,思想建设,制度建设,廉政建设和反腐败斗争
单选,实现中华民族伟大复兴关键在(),C,发展,改革开放,党,经济建设
单选,中国特色社会主义制度的最大优势是(),A,中国共产党的领导,马克思主义的指导,公有制为主体,人民代表大会制度
单选,“四个伟大”中，目标是(),A,伟大梦想,伟大斗争,伟大工程,伟大事业
单选,“四个伟大”中，手段是(),B,伟大梦想,伟大斗争,伟大工程,伟大事业
单选,“四个伟大”中，保障是(),C,伟大梦想,伟大斗争,伟大工程,伟大事业
单选,“四个伟大”中，主题是(),D,伟大梦想,伟大斗争,伟大工程,伟大事业
单选,最高政治领导力量是(),A,党,人大,政府,领袖
单选,坚持以人民为中心的导向深化文化体制改革，要坚持把()放在首位。,A,社会效益,经济效益,文化创造活力,文化管理体制
单选,形成人与自然和谐发展新格局，必须把（）放在首位。,B,坚持保护优先、自然恢复为主,节约资源,着力推进绿色发展、循环发展和低碳发展,形成节约资源和保护环境的空间格局 、产业结构、生产方式和生活方式
单选,()是当代中国哲学社会科学区别于其他哲学社会科学的根本标志。,C,坚持中国风格,坚持中国气派,坚持以马克思主义为指导,体现中国特色
单选,党的十九大明确了到本世纪中叶把我国建设成为富强民主文明和谐（）的社会主义现代化强国的目标。,D,绿色,安全,健康,美丽
单选,()是一个民族赖以维系的精神纽带，是一个国家共同的思想道德基础。,A,核心价值观,文化,理想,意识形态
单选,发展文化事业要坚持以（）主导。,B,市场,政府,社会,人民
单选,发展文化产业，要坚持以（）为中心的导向深化文化体制改革。,C,政府,社会,人民,市场
单选,()集中体现了一个国家基于文化而具有的凝聚力和生命力，以及由此产生的吸引力和影响力。,A,文化软实力,发达的文化产业,高度文化素养的国民,健康的文化事业
单选,()是中华民族永续发展的千年大计。,A,建设生态文明,发展教育事业,消除贫困,实施健康中国战略
单选,()是人与自然相处时应承担的重要责任。,B,尊重自然,保护自然,顺应自然,改造自然
单选,党的十八届五中全会坚持（ ）的发展思想，鲜明提出五大新的发展理念。,A,以人民为中心,以经济为中心,以发展为中心,以改革为中心
单选,()是引领发展的第一动力,C,改革,开放,创新,协调
单选,()是持续健康发展的内在要求,B,绿色,协调,创新,共享
单选,()是永续发展的必要条件,D,共享,创新,开放,绿色
单选,()是国家繁荣发展的必由之路,D,创新,协调,共享,开放
单选,()是中国特色社会主义的本质要求,A,共享,绿色,创新,协调
单选,()是注重解决发展动力问题,B,绿色,创新,开放,协调
单选,()是注重解决发展不平衡问题,A,协调,创新,绿色,开放
单选,()是注重解决人与自然的和谐问题,C,创新,协调,绿色,共享
单选,()是注重解决发展内外联动问题,B,创新,开放,协调,共享
单选,()是注重解决社会公平正义问题,A,共享,创新,协调,绿色
单选,坚持开放发展，就要奉行（）的开放战略,C,进出口平衡,引资引智引技并举,互利共赢,引进来
单选,建设（）经济体系是跨越关口的迫切要求和我国发展的战略目标。,B,信息化,现代化,工业化,智能化
单选,2017年中央经济工作会议指出，5年来，我们坚持观大势 、谋全局、干实事，成功驾驭了我国经济发展大局，在实践中形成了以新发展理念为主要内容的（）。,A,习近平新时代中国特色社会主义经济思想,习近平政治经济学,中国特色社会主义政治经济学,习近平新时代中国特色社会主义思想
单选,共享理念实质就是坚持（）的发展思想，体现的是逐步实现共同富裕的要求。,B,成果共享,以人民为中心,为人民服务,公平公正
单选,推进（），是适应和引领经济发展新常态的重大创新，是适应国际金融危机发生后综合国力竞争新形势的主动选择，是适应我国经济发展新常态的必然要求。,A,供给侧结构性改革,产业结构改革,区域协调发展,“五位一体”协调发展
单选,()是生态文明建设的必然要求，代表了当今科技和产业变革方向，是最有前途的发展领域。,B,协调发展,绿色发展,共享发展,环保产业
单选,必须坚持以人民为中心的发展思想，坚持（ ）的发展理念。,D,创新、协调、绿色、开放、可持续,创新、协调、绿色、开放,创新、协调、绿色、共享,创新、协调、绿色 、开放、共享
单选,坚持质量第一、效益优先，以（）为主线，推动经济发展质量变革、效率变革、动力变革，提高全要素生产率 。,A,供给侧结构性改革,经济发展方式,集约化经营,经济体制改革
单选,推进增长动能转换，以加快发展（）为重点全面提升实体经济。,B,绿色产业,先进制造业,科技创新产业,智能化产业
单选,推进增长动能转换，以加快发展先进制造业为重点全面提升（）。,A,实体经济,金融经济,数字经济,绿色经济
单选,深化要素市场化配置改革，实现由以价取胜向（）的转变,C,以效益取胜,以量取胜,以质取胜,以高科技取胜
单选,()是一国经济的立身之本，是财富创造的根本源泉，是国家强盛的重要支柱。,B,现代金融,实体经济,虚拟经济,民营经济
单选,建设（）是我国发展的战略目标，也是转变经济发展方式、优化经济结构、转换经济增长动力的迫切要求。,A,现代化经济体系,中国特色社会主义市场经济,社会主义市场经济体系,现代化市场体系
单选,关于转方式调结构的重点任务，《中共中央关于制定国民经济和社会发展第十三个五年规划的建议》提出了具体要求，关键是要实现（）的发展。,C,可持续,集约型,有质量、有效益,稳增长
单选,我国经济已由高速增长阶段转向（）发展阶段，正处在转变发展方式、优化经济结构、转换增长动力的（）。,A,高质量 攻关期,中高速 深水区,高水平 攻坚期,高效益 转型期
单选,十九大报告指出，我国经济已由（）阶段转向（）阶段 。,B,中高速增长 高质量发展,高速增长 高质量发展,中低速增长 高水平发展,低速增长 高水平发展
单选,建设现代化经济体系，必须把发展经济的着力点放在()上。,A,实体经济,民生经济,质量提高,增长速度
单选,建设现代化经济体系，必须把提高（）质量作为主攻方向，显著增强我国经济质量优势。,C,经济发展,产业体系,供给体系,民生经济
单选,十九大报告强调，要激发和保护（），鼓励更多社会主体投身创新创业。,B,创新精神,企业家精神,工匠精神,劳模精神
单选,构建（）新型政商关系，促进非公有制经济健康发展和非公有制经济人士健康成长。,A,亲清,亲密,亲融,亲近
单选,5年来，我们坚持适应我国经济发展主要矛盾变化完善宏观调控，相机抉择，开准药方，把推进（）作为经济工作的主线。,B,社会主义市场经济体制改革,供给侧结构性改革,“三去一降一补”,转变发展方式
单选,( )是最大的民生。,A,就业,教育,安全,健康
单选,带领人民群众创造幸福生活，要坚持以人民为中心的发展思想，以（  ）为重点，发展各项社会事业。,C,优先发展教育,精准扶贫、精准脱贫,保障和改善民生,创新社会治理体制
单选,坚持国家安全观，必须坚持国家利益至上，以（   ）为宗旨。,B,国土安全,人民安全,国民安全,内部安全
单选,坚持国家安全观，必须坚持国家利益至上，以（   ）为根本。,D,社会安全,人民安全,经济安全,政治安全
单选,每年的4月15日是(   ),D,公民道德宣传日,中国消防宣传日,中国法制宣传日,全民国家安全教育日
多选,毛泽东思想、中国特色社会主义理论体系是马克思主义中国化的成果，它们都：(     ),ABD,体现了马克思列宁主义的基本原理,包含了中国共产党人的实践经验,揭示了中国革命的特殊规律,包含了中华民族的优秀思想
多选,中国特色社会主义理论体系是同马克思列宁主义、毛泽东思想、邓小平理论一脉相承而又与时俱进的科学理 论，这是因为：(      ),ABCD,它们拥有共同的理论基础,它们都贯穿了辩证唯物主义和历史唯物主 义的世界观和方法论,它们具有相同的社会理想,它们具有与时俱进的理论品质
多选,下列各项中，体现了毛泽东思想在解放战争时期和中华人民共和国成立以后继续得到发展的有：(       ),ABCD,形成了人民民主专政的理论,阐述了新民主主义向社会主义转变的思想,论述了社会主义社会的基本矛盾,提出了正确区分和处理两类不同性质矛盾的学说
多选,毛泽东思想的历史地位和指导作用主要表现在( ),ABCD,是夺取中国革命胜利的理论武器,是社会主义中国立国建国的思想政治基础,是对马列主义的丰富和发展,是建设有中国特色社会主义理论的思想渊源和理论先导
多选,中国特色社会主义理论体系是(      ),ABCD,马克思主义基本原理与当代中国实践和时 代特征相结合的产物,毛泽东思想的继承和发展,中国共产党集体智慧的结晶,马克思主义中国化的第二个重大理论成果
多选,三大作风是中国共产党区别其他政党的显著标志，这三大作风是(  ),ABC,理论联系实际的作风,密切联系群众的作风,批评与自我批评的作风,谦虚谨慎的作风
多选,马克思主义中国化的科学内涵是指（    ）。,ABC,运用马克思主义理论解决中国的具体问题,将中国革命的实践经验、历史经验提升为理论,把马克思主义融入中国优秀文化之中,实现中国优秀文化的创造性转换
多选,邓小平说：“马克思主义必须是同中国实际相结合的马克思主义，社会主义必须是切合中国实际的有中国特色的社会主义。”这句话应当理解为(    ),ACD,马克思主义必须中国化,必须以实用化的态度对待马克思主义,社会主义必须具有中国特色,离开中国实际谈马克思主义没有意义
多选,马克思主义之所以要实现中国化的原因在于（    ）。,ABC,马克思主义理论的内在要求,马克思主义与中华民族优秀文化具有相融性,中国革命建设和改革的实践需要马克思主义指导,马克思主义为中国革命建设和改革提 供了现实发展模式
多选,毛泽东思想是（    ）。,ABC,马克思列宁主义在中国的运用和发展,被实践证明了的关于中国革命和建设的正确的理论原则和经验总结,中国共产党集体智慧的结晶,毛泽东一生思想与实践的完整体现
多选,毛泽东思想的活的灵魂，是贯穿于毛泽东思想全部内容及其各个部分的立场、观点和方法。主要包括的基本方面是（    ）。,ABD,实事求是,群众路线,统一战线,独立自主
多选,中国特色社会主义理论体系回答的基本问题有(    ),ABC,什么是社会主义，怎样建设社会主义,建设什么样的党，怎样建设党,实现什么样的发展、怎样发展,解放生产力，发展生产力
多选,科学发展观与毛泽东思想、邓小平理论和“三个代表”重要思想是一脉相承的统一的科学理论。这种一脉相承具体表现在(    ),ABD,都坚持辩证唯物主义和历史唯物主义世界观,都具有与时俱进的理论品质,都提出物质文明和精神文明并举的原则,都坚持为最广大人民群众的根本利益服务的宗旨
多选,胡锦涛在庆祝中国共产党成立90周年大会上的讲话指 出：经过90年的奋斗、创造、积累，党和人民必须倍加珍惜、长期坚持、不断发展的成就是（    ）。,ABC,开辟了中国特色社会主义道路,形成了中国特色社会主义理论体系,确立了中国特色社会主义制度,实现了思想的大解放
多选,解放思想的科学含义是（  ）。,ABCD,在马克思主义的指导下打破习惯势力的束缚,在马克思主义的指导下坚持实事求是， 一切从实际出发,在马克思主义的指导下研究新情况，解决新问题,在马克思主义的指导下破除教条主义和本本主义的束缚
多选,解放思想、实事求是集中体现了( )。,ABCD,辩证唯物主义和历史唯物主义的统一,马克思主义的科学世界观和方法论的统一,党的思想路线与辩证唯物主义认识论的统一,唯物论、辩证法和认识论的统一
多选,实事求是思想路线的重新确立和发展对我国革命和建设具有非常重大的理论意义和实践意义，主要包括：( ),ABCD,有力地推动和保证了拨乱反正地顺利进行,有利地推动和保证了全面改革的进行,解决了关系我们党和国家前途命运的重大政治问题，为我们党永葆生机提供了科学的精神法宝,使我们党成功找到了在经济文化落后的中国建设社会主义的正确道路
多选,与时俱进，就是党的全部理论和工作要（  ）。,ABD,体现时代性,把握规律性,完全符合马克思主义,富于创造性
多选,党的思想路线的基本内容是( )。,ABD,解放思想，实事求是,一切从实际出发，理论联系实际,相信群众，依靠群众,坚持实践是检验真理的唯一标准
多选,马克思主义中国化的必要性是(      ),AB,是解决中国实际问题的客观需要,是马克思主义理论发展的内在要求,是领导人意志的反映,是学习西方的需要
多选,以下属于毛泽东对人民军队建设做出的贡献的是：( ),BCD,创建了中国共产党领导的第一支军队,规定了为人民服务是人民军队的唯一宗旨,规定党指挥枪的原则,制定三大纪律八项注意
多选,群众路线的主要内容：(      ),ABCD,A.一切为了群众,一切依靠群众,从群众中来,到群众中去
多选,中国特色社会主义理论体系形成的条件包括(      ),ABCD,A.和平与发展成为时代主题,B.改革开放和现代化建设面临新的实践,C.总结我国自身建设经验,D.汲取其它社会主义国家经验教训
多选,下面属于毛泽东思想科学体系内容的是,ABCD,关于新民主主义革命的理论   关于社会主义革命和社会主义建设的理论,,关于革命军队的建设和军事战略的理论,关于党的建设理论
多选,"贯穿于毛泽东思想各个组成部分的立场、观点和方法,是毛泽东思想的活的灵魂,其基本方面有(   )",BCD,解放思想,实事求是,独立自主,群众路线
多选,近代中国半殖民地半封建的社会性质，规定了   (  ),ABC,中国革命的主要对象是帝国主义和封建主义,中国革命的性质是资产阶级民主革命,中国革命的动力包括工人、农民、小资产阶级和民族资产阶级,中国革命的前途是由新民主主义走向社会主义
多选,毛泽东在《目前形势和我们的任务》 一文中提出的新民主主义的经济纲领包括( ),ABD,没收封建地主阶级的土地归农民所有,没收官僚资本归新民主主义国家所有,平均地权,保护民族工商业
多选,新民主主义革命的动力包括：,ABCD,无产阶级,农民阶级,民族资产阶级,城市小资产阶级
多选,中国革命走农村包围城市、武装夺取政权的道路，必须处理好哪三者之间的关系( ),ABC,土地革命,武装斗争,根据地建设,统一战线
多选,新民主主义革命就是“新式的、特殊的资产阶级民主主义革命”，它的基本特点是  (  ),ABCD,它有新的领导阶级即无产阶级,它有新的指导思想即马克思主义,它属于世界无产阶级革命的一部分,它有了新的前途，经过新民主主义革命进而达到社会主义的目标
多选,新民主主义革命的主要对象是：(  ),ABC,帝国主义,封建主义,官僚资本主义,民族资产阶级
多选,在新民主主义革命对象问题中，正确的认识有,AD,帝国主义、封建主义在整个新民主主义革命时期都是革命的对象,土地革命后期官僚资本主义被作为革命对象,官僚资本主义一直是革命的对象,解放战争时期官僚资本主义被作为革命对象
多选,没收官僚资本归新民主主义国家所有,ABD,具有民主革命和社会主义革命的双重性质,是新民主主义革命的题中应有之义,这是因为它是资本主义,没收它建立起具有社会主义性质的国营经济，为实现向社会主义过渡奠定坚实基础
多选,中国的新民主主义革命是新式的特殊的资产阶级民主主义革命，这个“新式的特殊的”具体表现为( ),AB,发生在十月革命之后,领导阶级和指导思想的根本变化,反帝反封建,目标是建立社会主义国家
多选,1928年毛泽东在《中国的红色政权为什么能够存在？》一文中论述了中国红色政权发生、发展的原因，其主观条件有( ),AD,有相当力量的正式红军存在,中国政治经济发展不平衡,国民革命政治影响的存在和全国革命形势的继续发展,中国共产党的正确领导
多选,新民主主义革命属于  ( ),AD,资产阶级民主革命性质,无产阶级社会主义革命性质,世界资产阶级革命范畴,世界无产阶级革命范畴
多选,中国新、旧民主主义革命的不同点是( ),BCD,革命对象不同,革命前途不同,革命领导阶级不同,革命指导思想不同
多选,近代中国社会的阶级结构是“两头小中间大”，“两头 ”是指( ),AC,无产阶级,农民阶级,地主大资产阶级,城市小资产阶级
多选,毛泽东在《新民主主义论》中指出：“我们共产党人，多年以来，不但为中国的政治革命和经济革命而奋斗，而且为中国的文化革命而奋斗； 一切这些的目的，在于建设一个中华民族的新社会和新国家。在这个新社会和新国家中，不但有新政治、新经济，而且有新文化。”这里提到的“新文化”的内涵是,ABCD,民族的文化,科学的文化,大众的文化,中国化的文化
多选,中国无产阶级作为新民主主义革命的领导阶级，除了具有国际无产阶级的一般优点外，还具有由中国国情决定的特殊优点。这些特殊优点包括(,BCD,没有私人占有的生产资料,身受三重压迫和剥 削，最富有革命的坚定性和彻底性,分布集中,和农民有着天然的联系
多选,中国革命要领导革命取得胜利，必须不断加强党的(),ABC,作风建设,思想建设,组织建设,文化建设
多选,毛泽东提出的“工农武装割据”思想主要是指（ ）密切结合的思想,ABD,土地革命,武装斗争,独立自主,农村革命根据地建设
多选,中国红色政权存在和发展的条件有(),ABCD,近代中国社会政治经济发展的不平衡,革命的群众基础好,全国革命形势的继续向前发展,相当力量的正式红军的存在；党的领导的有力量及其政策的不错误
多选,中国共产党在中国革命中战胜敌人的三个法宝:  ( ),BCD,游击战,武装斗争,党的建设,统一战线
多选,近代中国社会主要矛盾是：( ),AB,帝国主义和中华民族的矛盾,封建主义和人民大众的矛盾,资产阶级和无产阶级的矛盾,资产阶级和农民之间的矛盾
多选,新民主主义革命时期，中国共产党对民族资本主义实行保护政策，主要原因是  (),ABCD,由新民主主义革命性质决定的,由民族资本的特点决定的,由民族资产阶级在民主革命中的表现决定的,巩固和扩大统一战线的需要
多选,没收官僚资本归新民主主义国家所有   (),ACD,这是新民主主义经济纲领中的一项重要内容,这是因为它是资本主义,具有民主革命和社会主义革命的双重性质,对于新中国社会经济的发展具有举足轻重的作用
多选,集中体现毛泽东探索中国社会主义建设道路所取得的理论成果的著作有(),CD,《中国人民站起来了 》,《论人民民主专政》,《论十大关系》,《关于正确处理人民内部矛盾》
多选,在探索社会主义建设道路的初期，以毛泽东为代表的党的第一代领导人在经济体制和管理制度上提出的思想有(),ABCD,“三个主体，三个补充”的思想,消灭资本主义，又搞资本主义,实行农业生产责任制,发展社会主义商品生产，重视价值规律
多选,毛泽东在《关于正确处理人民内部矛盾的问题》中认为社会主义社会两类不同性质的矛盾是(),CD,生产关系和生产力的矛盾,上层建筑和经济基础之间的矛盾,敌我矛盾,人民内部矛盾
多选,在社会主义改造基本完成以后，正确处理人民内部矛盾的具体方针是(),ABCD,经济上实行“统筹兼顾、适当安排”,政治上实行团结—批评—团结,科学文化上实行“百花齐放、百家争鸣”,共产党和各民主党派关系上实行“长期共存、互相监督 ”
多选,毛泽东指出，从建设社会主义基本制度到建成一个伟大的社会主义国家，至少需要五十年到一百年的时间，这是由于(),ABCD,我国进入社会主义的特殊历史条件决定的,我国的现实状况决定的,我国现代化建设所处的国际环境和时代特点决定的,社会发展的自身规律决定的
多选,上个世纪60年代，党提出了实现四个现代化的战略目标，并提出了要分两步走的发展战略，这两步走是指	(),AB,第一步，用15年的时间，即在1980年以 前，建成一个独立的比较完整的工业体系和国民经济体系,第二步，在本世纪 内，全面实现工业、农业、国防和科学技术的现代化，使我国国民经济走在世界的前列,不发达的社会主义,比较发达的社会主义
多选,下列关于社会主义矛盾的说法中正确的有(),BCD,社会主义基本矛盾是对抗性的矛盾,社会主义存在阶级矛盾和人民内部矛盾两种矛盾,在社会主义条件下，阶级矛盾基本结束，但还没有完全结束,社会主义基本矛盾可以通过社会主义 制度自身得到解决
多选,下列关于党在五六十年代探索社会主义的发展阶段的说法中正确的(),ABC,社会主义可以分成不发达的社会主义和比较发达的社会主义两个阶段,中国处于不发达的社会主义阶段，比较发达的社会主义要比不发达的社会主义阶段需要更长的时间,我国当前人口多，底子薄，要建成比较发达的社会主义至少需要五十年至一百年的时间,社会主义在中国将很快建成，共产主义很快就会实现
多选,中国共产党领导中国人民对社会主义建设道路的初步探索，在理论和实践上取得了一系列成果，其重要意义在于(),ABC,巩固和发展了我国的社会主义制度,为开创中国特色社会主义提供了宝贵经验 、理论准备、物质基础,丰富了科学社会主义的理论和实践,能够直接指导改革开放新时期的现代化建设
多选,在中共八大上，陈云提出了关于我国社会主义经济体制的设想，主要包括“三个主体，三个补充”的思想，它们是(),BCD,以国营经济为主体， 以私营经济为补充,以国家与集体经营为主体，以个体经营为补充,以计划生产为主体，以自由生产为补充,以国家市场为主 体，以自由市场为补充
多选,苏联模式存在的弊端有(),BC,生产的无计划性,国民经济比例失调,管理体制的高度集中和统一,优先发展农业
多选,我国社会主义四个现代化是(),ABD,现代农业和现代国防,现代科学技术,现代教育,现代工业
多选,毛泽东在《论十大关系》中，论述了在政治方面要处理好如下关系(),ABCD,汉族和少数民族的关系,革命与反革命的关系,中国与外国的关系,党与非党的关系和是非关系
多选,毛泽东论述中国工业化道路涉及(),BC,汉族与少数民族的关系问题,农、轻、重的比例关系问题,沿海工业和内地工业的关系问题,经济建设和国防建设的关系问题
多选,毛泽东在《关于正确处理人民内部矛盾的问题》中提出了(),AC,社会主义基本矛盾学说,中国工业化道路,社会主义社会的两类社会矛盾学说,阶级斗争的理论
多选,我国社会主义初级阶段的含义是( ),AB,我国已经是社会主义社会,我国的社会主义正处于初级阶段,任何国家进入社会主义社会必须经历的起始阶段,大多数国家进入社会主义都需要经历的阶段
多选,党在社会主义初级阶段基本路线的内容有(),ABCD,以经济建设为中心,坚持四项基本原则C.坚持改革开放,"自力更生,艰苦创业","把我国建设成为富强,民主,文明、和谐、美丽的社会主义现代化国家"
多选,“什么是社会主义，怎样建设社会主义”是,CD,社会主义的根本问题,是党的思想路线问题,社会主义首要的基本理论问题,邓小平理论的基本问题
多选,在改革中，我们必须坚持（）原则,AC,以社会主义公有制为主体,多种所有制为主体,共同富裕,以经济建设为中心
多选,关于我们党的思想路线的说法，正确的是(),ABCD,解放思想，实事求是,是邓小平理论的活的灵魂,是邓小平理论的精髓,体现了辩证唯物主义和历史唯物主义的世界观方法论
多选,邓小平提出的“三个有利于”标准是：,ABC,是否有利于发展社会主义社会的生产力,是否有利于增强社会主义国家的综合国力,是否有利于提高人民的生活水平,是否有利于加强党的领导
多选,关于改革的说法正确的是：,ABCD,是新时期最鲜明的特点,是社会主义制度的自我完善和发展,是从根本上改变发展的经济体制,是社会主义发展的直接动力
多选,“计划经济不等于社会主义，资本主义也有计划；市场经济不等于资本主义，社会主义也有市场”。邓小平这一论断的内涵是,BC,计划和市场都属于社会基本制度的范畴,计划和市场都是资源配置的方式,计划和市场不是社会主义与资本主义的本质区别,计划和市场是不能兼容的
多选,邓小平理论形成的条件有(),ABC,和平与发展成为时代主题,社会主义建设得到经验教训,改革开放和现代化建设的实践,新时代新任务
多选,社会主义建设初步探索中我们犯了不少错误，走了不少弯路，主要有(),AB,经济上急于求成、盲目求纯和急于过渡,在政治上坚持以阶级斗争为纲,文化上坚持多样性发展,社会建设协调发展
多选,社会主义的本质是(),ABCD,解放生产力，发展生产力,消灭剥削,消除两极分化,最终达到共同富裕
多选,“一个中心、两个基本点”具体是指(),ABD,以经济建设为中心,坚持四项基本原则,坚持自力更生,坚持改革开放
多选,“三个代表”重要思想深化了对中国特色社会主义的认识，表现在,AC,进一步回答了什么是社会主义，怎样建设 社会主义的问题,明确提出了解放思想 、实事求是的思想路线,创造性地回答了建设一个什么样的党，怎样建设党的问题,确定了党在社会主义初级阶段的基本路线
多选,“三个代表”重要思想是我们的(  ),ABC,立党之本,执政之基,力量之源,兴旺之源
多选,“三个代表”的主要内容是(    ),ABC,代表中国先进社会生产力的发展要求,代表中国先进文化的前进方向,代表中国最广大人民的根本利益,代表世界社会主义发展潮流
多选,党必须解决好的两大历史性课题是(  ),AB,进一步提高党的领导水平和执政水平,提高拒腐防变和抵御风险的能力,扩大党员的数量,进行干部队伍的新老交替
多选,中国共产党是(),ACD,工人阶级的先锋队,农民阶级的先锋队,中国人民的先锋队,中华民族的先锋队
多选,贯彻“三个代表”重要思想要求(),ABC,核心在保持党的先进性,关键在坚持与时俱进,本质在坚持执政为民,坚持全民利益
多选,关于党始终代表中国最广大人民的根本利益说法正确的是：,ABCD,党和国家的一切工作和方针政策，都要以是否符合最广大人民群众的根本利益为最高衡量标准,要努力使工人、农民 、知识分子和其他群众共同享受到经济社会发展的成果,只有这样，我们的改革和建设才能始终获得最广泛最可靠的群众基础和力量源泉,党的一切工作，必须以最广大人民的根本利益为最高标准
多选,“三个代表”重要思想的形成条件主要有(),ABCD,对冷战结束后国际局势科学的判断,科学判断党的历史方位,总结历史经验,建设中国特色社会主义的伟大实践
多选,加强文化建设，必须(),ABCD,以科学的理论武装人,以正确的舆论引导人,以高尚的精神塑造人,以优秀的作品鼓舞人
多选,党的十七大报告指出，深入贯彻落实科学发展观，必须坚持,ABCD,把发展作为党执政兴国的第一要务,以人为本,全面协调可持续发展,统筹兼顾
多选,科学发展观基本要求是指  (  ),ABC,全面,协调,可持续,综合
多选,科学发展观是对党的三代中央领导集体关于发展的重要思想的继承和发展，是(  ),ABCD,马克思主义关于发展的世界观和方法论的集中体现,同马克思列宁主义、毛泽东思想、邓小平理论和“三个代表”重要思想既一脉相承又与时俱进的科学理论,我国经济社会发展的重要指导方针,我国文化发展的重要指导方针
多选,如下关于坚持以人为本正确的是：,ABCD,以最广大人民的根本利益为本,坚持发展为了人民,坚持发展依靠人民,坚持发展成果由人民共享
多选,坚持可持续发展，必须走（  ）的文明发展道路,ABC,生产发展,生活富裕,生态良好,共享
多选,统筹兼顾就是要统筹( ),ABCD,城乡发展、区域发展,经济社会发展,人与自然和谐发展,国内外发展和对外开放
多选,关于构建社会主义和谐社会说法正确的是(),ABC,构建社会主义和谐社会的总要求是民主法治、公平正义、诚信友爱、充满活力、安定有序、人与自然和谐相处,社会和谐是中国特色社会主义的本质,既要从“大社会”着眼，又要从“小社会 ”着手,是在党的十九大提出的
多选,科学发展观最鲜明的精神实质是( ),ABCD,解放思想,实事求是,与时俱进,求真务实
多选,科学发展观同邓小平理论、“三个代表”重要思想在( ) 一以贯之,ABCD,理论主题,思想基础,政治理想,根本立场
多选,十八大以来，我国取得的成就是：,ABCD,全方位的,开创性的,深层次的,根本性的
多选,中国特色社会主义进入了新时代，我国社会主要矛盾已经转化为（   ）与（  ）之间的矛盾,BD,人民日益增长的物质文化需要,人民日益增长的美好生活需要,落后的社会生产,不平衡不充分的发展
多选,中国特色社会主义进入了新时代，作出这个重大政治判断的依据包括：(  ),ABCD,党的十八大以来我国社会取得的历史性成就,十八大以来我国社会发生的历史性变革,我国社会主要矛盾运动的必然结果,党团结带领人民开创光明未来的必然要求
多选,中国特色社会主义进入了新时代，在以下哪几个方面具有重大意义：(  ),BCD,在发展中国家发展史上,在中华人民共和国发展史上,在中华民族发展史上,在世界社会主义发展史上
多选,坚持和发展中国特色社会主义，是改革开放以来我们党全部理论和实践的（  ），也是习近平新时代中国特色社会主义思想的(  ),AD,鲜明主题,主要特色,基本内容,核心要义
多选,坚持和发展什么样的中国特色社会主义，体现的特色包括(  ),ABCD,实践特色,理论特色,民族特色,时代特色
多选,怎样坚持和发展中国特色社会主义，深刻揭示了新时代中国特色社会主义的(  ),ABC,本质特征,发展规律,建设路径,时代要求
多选,体现习近平新时代中国特色社会主义思想理论与实践统一的是(  ),BC,五位一体,“八个明确”,“十四个坚持”,四个全面
多选,习近平新时代中国特色社会主义思想,ABCD,与前人理论既一脉相承又与时俱进,马克思主义中国化的新飞跃,当代中国马克思主义,21世纪马克思主义
多选,习近平新时代中国特色社会主义思想，具有(  ),ABC,无比深厚的现实基础,十分鲜明的实践特色,是新时代党和人民共同奋斗的精神旗帜,浓厚的民族特色
多选,旗帜问题事关党的正确方向，决定着党的(  ),BCD,实践力,凝聚力,引领力,战斗力
多选,习近平新时代中国特色社会主义思想是（  ）的集中体现,ABC,党的意志,国家意志,人民的意志,群众的意志
多选,坚持党中央权威和集中统一领导，要增强(  ),ABCD,政治意识,大局意识,核心意识,看齐意识
多选,全党要更加自觉地增强（  ）既不走封闭僵化的老路，也不走改旗易帜的邪路，保持政治定力，坚持实干兴邦，始终坚持和发展中国特色社会主义。,ABCD,道路自信,制度自信,理论自信,文化自信
多选,新时代中国特色社会主义思想，是（  ）必须长期坚持并不断发展。,ABCD,对马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观的继承和发展,马克思主义中国化最新成果,马克思主义中国化的新飞跃,全党全国人民为实现中华民族伟大复兴而奋斗的行动指南
多选,中国梦的本质是（   ）。,ABC,国家富强,民族振兴,人民幸福,天下大同
多选,实现中国梦必须（  ）。,BCD,走资本主义道路,走中国道路,弘扬中国精神,凝聚中国力量
多选,坚持和发展中国特色社会主义的总任务是（  ） 。,CD,发展生产力,改革开放,实现社会主义现代化,实现中华民族伟大复兴
多选,中国精神包括（）。,BC,世界精神,民族精神,时代精神,人民精神
多选,(   )是中华民族绵延数千年的理想。,AB,天下太平,共享大同,实现现代化,称霸世界
